














"ACRI   ECD_Winter2011_473.CHR"
22/09/2011 16:37:31





"N2O_C2_S3",37.966,720.2365
"N2O_C3_S3",40.966,704.9520
"N2O_C4_S3",43.966,708.1830
"N2O_CAL_04",46.966,1031.3510
"N2O_C1_S4",49.983,715.5500
"N2O_C2_S4",52.983,719.5735
"N2O_C3_S4",55.983,719.0080
"N2O_C4_S4",58.983,711.2315
"N2O_CAL_05",62.000,1050.1080
"N2O_C5_S1",65.000,702.8230
"N2O_C6_S1",68.000,723.2715
"N2O_C7_S1",71.016,716.4450
"N2O_C8_S1",74.000,701.8205
"N2O_CAL_06",77.016,1039.0880
"N2O_C5_S2",80.033,708.6480
"N2O_C6_S2",83.033,719.9240
"N2O_C7_S2",86.033,725.2450
"N2O_C8_S2",89.033,694.1760
"N2O_CAL_07",92.033,1048.7710
"N2O_C5_S3",95.050,700.2760
"N2O_C6_S3",98.050,723.9010
"N2O_C7_S3",101.050,717.7410
"N2O_C8_S3",104.050,698.3110
"N2O_CAL_08",107.050,1036.6895
"N2O_C5_S4",110.066,707.8340
"N2O_C6_S4",113.066,722.3630
"N2O_C7_S4",116.066,728.4490
"N2O_C8_S4",119.066,689.7960
"N2O_CAL_09",122.066,1044.4970
"N2O_C9_S1",125.083,680.5355
"N2O_C10_S1",128.083,698.4330
"N2O_C11_S1",131.083,698.2510
"N2O_C12_S1",134.083,702.1395
"N2O_CAL_10",137.083,1034.8600
"N2O_C9_S2",140.100,687.5580
"N2O_C10_S2",143.100,690.1660
"N2O_C11_S2",146.100,712.6480
"N2O_C12_S2",149.100,701.7210
"N2O_CAL_11",152.100,1048.4005
"N2O_C9_S3",155.116,683.1940
"N2O_C10_S3",158.116,694.0435
"N2O_C11_S3",161.116,711.8380
"N2O_C12_S3",164.116,714.7010
"N2O_CAL_12",167.116,1037.8650
"N2O_C9_S4",170.133,689.7970
"N2O_C10_S4",173.133,689.4980
"N2O_C11_S4",176.133,719.0740
"N2O_C12_S4",179.133,709.7600
