"model","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"RF",100,"FloweringDAS","TotalEffects","FracPAWC",0.000943013615987893,0.00107308513471138,5.63241302842677e-05,0.000243253374943651,0.000461382248366841,0.00140439586435473
"RF",1000,"FloweringDAS","FirstOrder","ShootLag",0.0473212237736353,0.69761801539667,-0.00107724632920414,0.0119186878075521,0.677477225619637,0.724798449393272
"RF",1000,"FloweringDAS","FirstOrder","VegTarget",0.129345374990483,0.0253372674295542,-0.00205083949912614,0.0304768629236901,-0.0372440212316223,0.0921013537588602
"RF",1000,"FloweringDAS","FirstOrder","LateVegTarget",0.130570307520108,0.0745495605930534,-0.00306669631567512,0.0302050142409973,0.00745875167877541,0.138029059198883
"RF",1000,"FloweringDAS","FirstOrder","FloweringTarget",0.130829856353087,0.0207323510988615,-0.00225211136846079,0.0311975067409944,-0.043528573947138,0.0873012824059488
"RF",1000,"FloweringDAS","FirstOrder","Population",0.140226688696464,-0.0479576528527509,-0.00258891206297867,0.0303016008555031,-0.120865486877532,0.0193612018189313
"RF",1000,"FloweringDAS","FirstOrder","FracPAWC",0.13966882536285,-0.0486337577521835,-0.00252273966949329,0.0303181074893296,-0.12011712885266,0.0195516965101895
"RF",1000,"FloweringDAS","TotalEffects","ShootLag",0.126525889631378,0.740759235102089,0.00139600161485443,0.0283814954985729,0.680172827216774,0.806698716848152
"RF",1000,"FloweringDAS","TotalEffects","VegTarget",0.0203441479466787,0.0940125931763813,0.000845066997089472,0.00514931729363353,0.0828269545758537,0.103171102522532
"RF",1000,"FloweringDAS","TotalEffects","LateVegTarget",0.0222412414042635,0.125865824556246,0.000312647826021223,0.00555618081961165,0.113614708813539,0.135855950217802
"RF",1000,"FloweringDAS","TotalEffects","FloweringTarget",0.0122547452379205,0.0720448337788402,0.000102987233793178,0.00320224199479189,0.0653578776980812,0.0776126229360017
"RF",1000,"FloweringDAS","TotalEffects","Population",4.57285968483889e-05,0.000244760865879989,-1.04825986935327e-08,1.24065660825813e-05,0.000221915660831564,0.000267644257679953
