"model","location","sowing","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Lat",0.0187160334758483,0.0116270162774238,0.0000344965470414869,0.00452201781090198,0.00285650520485861,0.0215725386807069
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","ShootLag",0.018581454980699,-0.00633493238096462,0.0000328035839690178,0.00458775473799675,-0.0148777193016268,0.00370373567907218
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","VegTarget",0.0185892288383557,-0.00633184153292732,0.0000385116053699007,0.00459103074864716,-0.0148370079427834,0.00375222089557225
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","LateVegTarget",0.0185677487240364,-0.00639713747866308,0.0000399261020695577,0.00459103315567237,-0.0148961275443205,0.0036716211797158
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","FloweringTarget",0.0185454715639097,-0.00577949160933777,0.0000910464326189138,0.00463913206642853,-0.0142572451674381,0.00428822639647161
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Population",0.0183754483744841,-0.00387506340381195,0.0000384033334326541,0.00448676922762224,-0.0125350231519509,0.00584042522253317
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","FracPAWCmm",0.0183516877851995,-0.00628692864928903,0.0000392224824645746,0.00454608248880027,-0.0149788814974615,0.00337280628773799
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","PAWCmm",0.0185856431435248,-0.00639476862445895,0.0000376390902807559,0.00459050877331636,-0.0148994038379049,0.00368623930561989
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","sowingESW",0.0178324398023473,0.0430398384519087,0.000130399520095262,0.00445607964057455,0.0347554296962194,0.0525878694985666
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","SowingDOY",0.0126374806221928,0.451016495156422,-0.0000219316080478649,0.00313273356681501,0.444514435188688,0.457151915810881
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT0_30",0.0186431317960633,-0.00593617738483147,0.0000370157577083722,0.00458755764440609,-0.0145375707796555,0.00410556101640781
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT30_60",0.0187297720971148,-0.00641392542719113,0.0000392806545210294,0.00457538386663188,-0.0149885389207262,0.00374123317638856
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT60_90",0.0155584094118257,0.41427197441118,0.0000827296789681631,0.00371201194552695,0.406292411813635,0.42185082122546
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT0_30",0.0188561534766165,-0.00602461616899119,0.0000317756714140818,0.0045834339072664,-0.0147280100008824,0.00412814347573407
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT30_60",0.0184672373618668,-0.00608682633810207,0.0000511110748912542,0.00458956948736327,-0.0145118968346424,0.00395534052722446
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT60_90",0.0186167388250605,-0.00637499856390886,0.0000396728109506566,0.00458525151403972,-0.0149054157529803,0.00371132307208023
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Rain0_30",0.0185712207885228,-0.00641699654637044,0.0000324720076847239,0.00458954376262817,-0.0149258815655292,0.00364533922299355
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Rain30_60",0.0186019965427531,-0.00636920185854331,0.0000442987462102029,0.00459506746249343,-0.0148413390046619,0.00376065753809118
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Rain60_90",0.0186021767476152,-0.00428630405587649,0.0000850208860350022,0.00454975073520898,-0.0128873513894393,0.0057148253581759
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Radn0_30",0.0182299102180847,-0.00528125874427105,0.0000815799131821662,0.00455440273410789,-0.0136013565135636,0.00462855370452111
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Radn30_60",0.018914378522293,-0.00307378786018227,0.0000742013938049629,0.00462304901455202,-0.0120186215602822,0.00689575696201079
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Radn60_90",0.0176158697407114,0.00383025817909311,0.0000158355513154005,0.00455002371617131,-0.00413480827229842,0.013481061468413
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","Lat",0.000539087340160473,0.0182373700217902,0.00001093528739219,0.00013110799670383,0.0179572384736906,0.0184963258138511
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","ShootLag",0.00000430849013506932,0.000085552455214799,0.00000000330842789164512,0.00000109694986377707,0.0000837311427350958,0.0000880396328701651
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","VegTarget",0.00000949091362282956,0.000226753240270883,0.000000276149108605626,0.00000237313433004705,0.000221043100419128,0.000230534014041957
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","LateVegTarget",0.000000343134661476316,0.00000507088596579663,0.0000000120218669008572,0.0000000801497581257633,0.00000487041599317638,0.0000052135506546527
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","FloweringTarget",0.0000629632525215441,0.00112440699058303,0.000000366372201253667,0.0000157221924777027,0.00109332680998295,0.00115629006250449
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","Population",0.00187658609015723,0.0117459422615317,-0.0000113528799181879,0.000453526450687454,0.010732156350632,0.0126087424407892
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","FracPAWCmm",0.000405990580864359,0.00215536782101755,0.00000171949840268356,0.00010629408353413,0.0019392977268591,0.00234528830772346
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","PAWCmm",0.000000000000757844855165138,0.0000000000000589528426075958,0.0000000000000181032966395378,0.000000000000186174454021492,-0.000000000000304398516533305,0.000000000000453446338631833
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","sowingESW",0.00250397502675642,0.0591225275580882,0.0000246606991473608,0.000625451651729412,0.0577594704294746,0.060263445456231
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","SowingDOY",0.0111960426470445,0.48595315335819,-0.0000309863834935808,0.00277884376920565,0.480741039120519,0.491937081767564
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","AvgMinT0_30",0.000032871930171993,0.000657098653626842,0.000000788911428305488,0.00000769652097230624,0.000636505173078459,0.000669377103250452
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","AvgMinT30_60",0.0000262203040539705,0.000350194059845266,0.000000178696216058801,0.00000618313964974004,0.000335017724521738,0.000361238028575709
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","AvgMinT60_90",0.0113362869397761,0.447612361650427,0.000355466791385151,0.00301897712667496,0.440747549657372,0.452083836597148
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","AvgMaxT0_30",0.0000638062172290321,0.00144992796041787,0.0000029463219128167,0.0000164927519900177,0.00141517941310149,0.00147898563033052
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","AvgMaxT30_60",0.0000289430587064282,0.000495692164506734,-0.0000000353500985150745,0.0000070153638636897,0.000481540723059307,0.000510483781765736
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","AvgMaxT60_90",0.00000673730332913616,0.000127011102395325,-0.0000000487064965115722,0.00000172319545109761,0.000123674881639253,0.000130412184968389
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","Rain0_30",0.00000228075961173226,0.0000415706831286,0.0000000638821889797881,0.000000583855688615034,0.0000404079930753239,0.0000426887526870562
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","Rain30_60",0.0000021936738153046,0.0000405715261420081,-0.0000000816299650596722,0.000000550729576156249,0.0000396518720887378,0.0000418455459040424
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","Rain60_90",0.000199984115789922,0.00392099944216151,0.000000157160263049121,0.0000478151277339501,0.00383807134007589,0.00403805545586581
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","Radn0_30",0.000116551704358787,0.00183512497406435,0.00000588178655175787,0.0000285638008840987,0.00176982078669285,0.00188637249105164
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","Radn30_60",0.000186045582144754,0.00447621603228066,0.0000084000578795887,0.0000455618818411856,0.00438676205819197,0.00457280764033673
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","Radn60_90",0.000646649090914445,0.0161820122416827,-0.00000723665449023705,0.000171046320814237,0.0158406032813789,0.0164872523722934
"RF","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","Lat",0.0199389027412129,0.022595804659467,-0.000148536672410698,0.00483385227277574,0.013896181885476,0.0338350846266889
"RF","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","ShootLag",0.0202772602387292,0.006242199015658,-0.000254056983760491,0.00476178779742937,-0.00279801536812066,0.0174792448706085
"RF","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","VegTarget",0.0204803369723805,0.008219802669012,-0.000278795505930214,0.00477508392246177,-0.0012445786899131,0.0192357582824674
"RF","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","LateVegTarget",0.0203307170916142,0.00561606634305222,-0.000291205766329602,0.00487721592257298,-0.00355359465420971,0.0167771224374044
"RF","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","FloweringTarget",0.0202892340181149,0.00379182870665948,-0.000261314770751656,0.00481332776280148,-0.00534902889926253,0.0149402051188524
"RF","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","Population",0.0203124283260833,0.00393336123575857,-0.00026625339476173,0.00481966656103511,-0.0052259668548464,0.0150864614712369
"RF","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","FracPAWCmm",0.0205483351601163,0.00438600484228307,-0.00023956104901548,0.00483285944590859,-0.00489961742740993,0.0156487177327063
"RF","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","PAWCmm",0.0202849381136781,0.00388548091549379,-0.000264480664830885,0.00482157213371807,-0.00525516365781057,0.0150297744558675
"RF","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","sowingESW",0.021123652215043,0.00958660276880547,-0.000239813725435266,0.00482610326864378,-0.0000039106529099546,0.021119741562133
"RF","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","SowingDOY",0.0200846768890556,0.0396591867205711,-0.000251457834889363,0.00483755796833498,0.0295213279193276,0.0496060048083832
"RF","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","AvgMinT0_30",0.0212954613820623,0.131652410013673,-0.000259185836598008,0.00478241700804415,0.121715210176154,0.143010671558216
"RF","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","AvgMinT30_60",0.0207603568085498,0.0702586318757066,-0.000135429269671264,0.0046370537916198,0.0615734663299029,0.0823338231384527
"RF","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","AvgMinT60_90",0.0197049625541975,0.0571333759224592,-0.000181576579776785,0.00475868618138997,0.0478188013732165,0.067523763927414
"RF","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","AvgMaxT0_30",0.0160397753645705,0.359208174489145,-0.000278454365221337,0.00363903140893304,0.35245310079689,0.36849287616146
"RF","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","AvgMaxT30_60",0.0190892816092821,0.189553842415751,-0.000592893380703674,0.00462848709666697,0.181024208112136,0.200113489721418
"RF","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","AvgMaxT60_90",0.0203296236684509,0.0039018026224795,-0.000263971460260247,0.00482491432568052,-0.00527852590189057,0.0150510977665604
"RF","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","Rain0_30",0.0202512971570278,0.00386311317683532,-0.000264008348576099,0.00481504231564898,-0.00525866422706721,0.0149926329299606
"RF","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","Rain30_60",0.0202946478273783,0.00391373129710571,-0.0002615711081439,0.0048221851938543,-0.0052145143322619,0.0150801334951164
"RF","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","Rain60_90",0.0194316347053215,0.0158179358480632,-0.000273896957024136,0.00470404317709185,0.00656031042574566,0.0259919451310672
"RF","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","Radn0_30",0.0185706731163295,0.0612382601705917,-0.000233306214830545,0.00470454437208559,0.0527809450395694,0.0713516181558988
"RF","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","Radn30_60",0.0213312850203577,0.00711619206595878,-0.000155929597955051,0.00484059620690423,-0.00256596025401692,0.0187653247663408
"RF","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","Radn60_90",0.0215973405010881,0.0214522314175214,-0.000382084718039796,0.00486312587127772,0.0112114367392727,0.0328087772403609
"RF","Gunnedah","S2",50000,"FloweringDAS","TotalEffects","Lat",0.000686734075818891,0.0214648243746518,-0.00000284621459525555,0.000173713779033204,0.0210961237491622,0.0217828578249811
"RF","Gunnedah","S2",50000,"FloweringDAS","TotalEffects","ShootLag",0.000142931436179924,0.0033014348934568,0.00000300262379156159,0.0000321643150488266,0.00321989332265813,0.00336282475883805
"RF","Gunnedah","S2",50000,"FloweringDAS","TotalEffects","VegTarget",0.000168653648999608,0.00436456287871878,0.000000553329410745568,0.0000428405835961822,0.00427971377317574,0.00444836742217535
"RF","Gunnedah","S2",50000,"FloweringDAS","TotalEffects","LateVegTarget",0.0000711042880144359,0.00188631121404592,0.00000157216740626857,0.00001644886645706,0.00185254162214867,0.0019236459101631
"RF","Gunnedah","S2",50000,"FloweringDAS","TotalEffects","FloweringTarget",0.0000112484246899453,0.000167407673599462,-0.00000009721028187081,0.00000276818996521515,0.000161678431379309,0.000172926856069254
"RF","Gunnedah","S2",50000,"FloweringDAS","TotalEffects","Population",0.00000310412304695158,0.0000617524831634242,-0.0000000852340234647203,0.000000766315071134907,0.0000604173305123637,0.0000635214535593153
"RF","Gunnedah","S2",50000,"FloweringDAS","TotalEffects","FracPAWCmm",0.0000419179166082497,0.000871725666197198,-0.000000437178634926671,0.00000972482344736962,0.000852275859535258,0.000894193776143508
"RF","Gunnedah","S2",50000,"FloweringDAS","TotalEffects","PAWCmm",0.00000000000198156820842238,-0.000000000000202504679691629,0.00000000000027724156304032,0.000000000000500024736122407,-0.00000000000143170993531028,0.0000000000005498582731121
"RF","Gunnedah","S2",50000,"FloweringDAS","TotalEffects","sowingESW",0.000428584802130162,0.00999462399920359,0.00000274562185869145,0.000115530643704019,0.00981100753061983,0.01023959233275
"RF","Gunnedah","S2",50000,"FloweringDAS","TotalEffects","SowingDOY",0.00155029474782512,0.0432311073441172,0.00000604680564205567,0.000401533704576281,0.0423644315698014,0.0439147263176265
