"model","location","sowing","target","input","mu","mu.star","sigma"
"ANN","Emerald","S3","Biomass","VegTarget",79.7915303154874,84.6620990845855,66.1295133029308
"ANN","Emerald","S3","Biomass","LateVegTarget",46.5777654210906,76.4164273570405,108.481563854805
"ANN","Emerald","S3","Biomass","FloweringTarget",34.7561013270866,36.2840677064469,26.6185470091286
"ANN","Emerald","S3","Biomass","Population",102.253991011552,128.509494777456,252.960389806105
"ANN","Emerald","S3","Biomass","FracPAWCmm",127.230536463909,172.479032754698,319.584512687051
"ANN","Emerald","S3","Biomass","PAWCmm",102.789916358531,261.441558854899,337.581809150974
"ANN","Emerald","S3","Biomass","sowingESW",144.154727582347,320.034982698732,392.802467992865
"ANN","Emerald","S3","Biomass","SowingDOY",-42.2217844907857,119.656305115336,146.317725281406
"ANN","Emerald","S3","Biomass","AvgMinT0_30",20.0646302369453,177.515445336112,217.778201937947
"ANN","Emerald","S3","Biomass","AvgMinT30_60",3.83566783209291,119.926081028432,148.498910658655
"ANN","Emerald","S3","Biomass","AvgMinT60_90",-337.549413930006,342.396196583991,195.20898989695
"ANN","Emerald","S3","Biomass","AvgMaxT0_30",-75.4722359283812,105.704793875015,112.239202590841
"ANN","Emerald","S3","Biomass","AvgMaxT30_60",-213.418270637737,224.081919011427,174.264137814634
"ANN","Emerald","S3","Biomass","AvgMaxT60_90",-398.153720537916,398.815838918305,213.093344368302
"ANN","Emerald","S3","Biomass","Rain0_30",95.5350046156268,112.024633956082,164.406260241952
"ANN","Emerald","S3","Biomass","Rain30_60",6.55389676862654,174.592160587176,245.996551951214
"ANN","Emerald","S3","Biomass","Rain60_90",-210.967517343347,322.591393433928,345.587875295139
"ANN","Emerald","S3","Biomass","Radn0_30",-3.79317190500619,92.536923676988,116.007635695035
"ANN","Emerald","S3","Biomass","Radn30_60",-23.3551158546193,57.6673722640566,84.7247560803612
"ANN","Emerald","S3","Biomass","Radn60_90",157.630887365668,186.017344854646,165.804933356039
"ANN","Emerald","S3","GrainWt","Lat",47.5472903622911,54.5595454150205,117.675124203423
"ANN","Emerald","S3","GrainWt","ShootLag",35.4654273139831,35.9066423028057,25.6516093704648
"ANN","Emerald","S3","GrainWt","VegTarget",48.0464752602148,49.5029507736956,41.1532896388168
"ANN","Emerald","S3","GrainWt","LateVegTarget",32.200345493304,45.7771132391718,55.1749832093885
"ANN","Emerald","S3","GrainWt","FloweringTarget",-5.46911438762062,12.6533992590631,14.9756260777734
"ANN","Emerald","S3","GrainWt","Population",68.2509181969259,69.8515025141964,89.7852936249271
"ANN","Emerald","S3","GrainWt","FracPAWCmm",-94.9179831679274,133.214576775067,136.055616795156
"ANN","Emerald","S3","GrainWt","PAWCmm",-68.22470540841,84.7142475794781,131.974560105628
"ANN","Emerald","S3","GrainWt","sowingESW",150.675693326824,181.671636464907,170.645425727539
"ANN","Emerald","S3","GrainWt","SowingDOY",-67.6899724117318,79.4623991658367,76.7210152116254
