"model","location","sowing","target","input","mu","mu.star","sigma"
"ANN","Emerald","S1","EmergenceDAS","Lat",-0.133908255123221,0.151412861549175,0.10869592011705
"ANN","Emerald","S1","EmergenceDAS","ShootLag",1.14517224227112,1.14517224227112,0.441005778008063
"ANN","Emerald","S1","EmergenceDAS","VegTarget",-0.441028125999619,0.441028125999619,0.115155342675037
"ANN","Emerald","S1","EmergenceDAS","LateVegTarget",-0.729031156533602,0.729031156533602,0.247320061367823
"ANN","Emerald","S1","EmergenceDAS","FloweringTarget",-0.117549257827357,0.121839728874099,0.0734789810230853
"ANN","Emerald","S1","EmergenceDAS","Population",0.00948099845369865,0.201235364569529,0.249523722489315
"ANN","Emerald","S1","EmergenceDAS","FracPAWCmm",0.547248037494793,0.558834874741922,0.227709656575119
"ANN","Emerald","S1","EmergenceDAS","PAWCmm",0.183901657505457,0.184219243382817,0.0745313681998362
"ANN","Emerald","S1","EmergenceDAS","sowingESW",-0.523984634034774,0.553733585447736,0.273799874131217
"ANN","Emerald","S1","EmergenceDAS","SowingDOY",0.581037456453421,0.588777746285441,0.315670787371247
"ANN","Emerald","S1","EmergenceDAS","AvgMinT0_30",-9.27777713032443,9.27777713032443,4.93911519832086
"ANN","Emerald","S1","EmergenceDAS","AvgMinT30_60",1.22266933768326,1.32303761195918,1.19889884537413
"ANN","Emerald","S1","EmergenceDAS","AvgMinT60_90",-0.172691933690118,0.436777681227915,0.511602386298225
"ANN","Emerald","S1","EmergenceDAS","AvgMaxT0_30",-7.26220088650164,7.26220088650164,4.72377852112702
"ANN","Emerald","S1","EmergenceDAS","AvgMaxT30_60",-2.02515847672807,2.02515847672807,0.844956354675546
"ANN","Emerald","S1","EmergenceDAS","AvgMaxT60_90",0.578880270906213,0.64671133541607,0.540605210871303
"ANN","Emerald","S1","EmergenceDAS","Rain0_30",0.327867057577271,0.708070653091211,0.809737612708026
"ANN","Emerald","S1","EmergenceDAS","Rain30_60",0.0858963049208507,0.426513644528617,0.51762059692218
"ANN","Emerald","S1","EmergenceDAS","Rain60_90",-0.0219809416843115,0.218848883529069,0.279124838635469
"ANN","Emerald","S1","EmergenceDAS","Radn0_30",-1.55896848964822,1.55931501865454,0.582933021184961
"ANN","Emerald","S1","EmergenceDAS","Radn30_60",2.18207116124014,2.18207116124014,1.02998903228297
"ANN","Emerald","S1","EmergenceDAS","Radn60_90",-0.422250709873748,0.440838750674284,0.285678772129935
"ANN","Emerald","S1","FloweringDAS","Lat",-7.06068650505528,7.07961157614911,2.74980572669398
"ANN","Emerald","S1","FloweringDAS","ShootLag",3.84476794201748,4.01096867633143,2.56061263247621
"ANN","Emerald","S1","FloweringDAS","VegTarget",4.83354820324386,5.21459463617221,5.35826027373056
"ANN","Emerald","S1","FloweringDAS","LateVegTarget",1.67173695791348,6.01367480208058,7.80599047577951
"ANN","Emerald","S1","FloweringDAS","FloweringTarget",-3.2818783378269,3.3111125032894,1.65989819251088
"ANN","Emerald","S1","FloweringDAS","Population",-0.179755968465996,0.811606779256519,0.971786065970937
"ANN","Emerald","S1","FloweringDAS","FracPAWCmm",-0.584856834623378,2.70282639504136,3.3219587468337
"ANN","Emerald","S1","FloweringDAS","PAWCmm",-0.154077274642819,0.840671467233133,1.03897963396657
"ANN","Emerald","S1","FloweringDAS","sowingESW",0.302693570363673,3.35605094584701,4.07485223078993
"ANN","Emerald","S1","FloweringDAS","SowingDOY",-11.6594328821437,16.9758020987679,16.619396886552
"ANN","Emerald","S1","FloweringDAS","AvgMinT0_30",-14.7490914030668,14.8398624132213,8.56431203515903
"ANN","Emerald","S1","FloweringDAS","AvgMinT30_60",-16.4203996719784,16.4203996719784,6.00153902555893
"ANN","Emerald","S1","FloweringDAS","AvgMinT60_90",-8.21859112213989,8.25965244827615,6.80210962613584
"ANN","Emerald","S1","FloweringDAS","AvgMaxT0_30",-19.1548658763526,19.1548658763526,7.56405266839817
"ANN","Emerald","S1","FloweringDAS","AvgMaxT30_60",-19.7583369664939,19.7583369664939,6.10159923002575
"ANN","Emerald","S1","FloweringDAS","AvgMaxT60_90",-8.45299530830994,8.58126040497545,7.39010634337734
"ANN","Emerald","S1","FloweringDAS","Rain0_30",0.692251513985158,1.31914258281133,1.49995435816211
"ANN","Emerald","S1","FloweringDAS","Rain30_60",0.848429836400194,1.06222551898859,1.0288349235923
"ANN","Emerald","S1","FloweringDAS","Rain60_90",-1.00166498762539,1.38877024032928,1.26014702154378
"ANN","Emerald","S1","FloweringDAS","Radn0_30",3.22808944325895,5.63584997044754,6.49576045369809
"ANN","Emerald","S1","FloweringDAS","Radn30_60",1.85392533290534,2.82645499432338,3.06116538712926
"ANN","Emerald","S1","FloweringDAS","Radn60_90",-1.1077462744909,3.11070809728179,3.72953780516792
"ANN","Emerald","S1","PoddingDAS","Lat",-23.1455172988305,23.1790273503166,13.6179978618144
"ANN","Emerald","S1","PoddingDAS","ShootLag",11.5541074621738,11.5541074621738,5.7857571397929
"ANN","Emerald","S1","PoddingDAS","VegTarget",4.88449308097237,6.2881542940335,6.4996471388739
"ANN","Emerald","S1","PoddingDAS","LateVegTarget",-9.10536490391324,14.6318108354093,15.3443549520457
"ANN","Emerald","S1","PoddingDAS","FloweringTarget",-1.79993036646561,5.17285558922608,6.00787833901623
"ANN","Emerald","S1","PoddingDAS","Population",5.32590255010145,6.27983337873185,5.54067195870375
"ANN","Emerald","S1","PoddingDAS","FracPAWCmm",19.2956734599224,19.2956734599224,11.0197867404715
"ANN","Emerald","S1","PoddingDAS","PAWCmm",-5.26952267302465,7.0993456040317,7.82775324369975
"ANN","Emerald","S1","PoddingDAS","sowingESW",-25.5659004550426,25.5659004550426,12.9981341155181
"ANN","Emerald","S1","PoddingDAS","SowingDOY",-47.0847587051934,52.7985330277244,40.2235287049892
"ANN","Emerald","S1","PoddingDAS","AvgMinT0_30",-27.9452947997164,28.9988144864625,21.853284892637
"ANN","Emerald","S1","PoddingDAS","AvgMinT30_60",-18.1653680624679,18.3746288300017,11.6184197752192
"ANN","Emerald","S1","PoddingDAS","AvgMinT60_90",-63.9797820035246,64.9824609940225,42.6532108780395
"ANN","Emerald","S1","PoddingDAS","AvgMaxT0_30",-19.1261882371375,19.1396562349123,8.41697683231068
"ANN","Emerald","S1","PoddingDAS","AvgMaxT30_60",-25.2913455012602,25.5472217741914,20.8921535162589
"ANN","Emerald","S1","PoddingDAS","AvgMaxT60_90",-49.3983885256185,49.5376449345487,28.376586017677
"ANN","Emerald","S1","PoddingDAS","Rain0_30",6.8423462443936,8.73358564716692,8.02545989237747
"ANN","Emerald","S1","PoddingDAS","Rain30_60",11.3147510103306,15.6692561356743,15.6733660490252
"ANN","Emerald","S1","PoddingDAS","Rain60_90",14.5014871402248,15.6963454659221,12.6931108709004
"ANN","Emerald","S1","PoddingDAS","Radn0_30",7.1677625579693,17.7824985247969,19.8432679336947
"ANN","Emerald","S1","PoddingDAS","Radn30_60",8.42504966872329,13.7204778707183,14.1981790112416
"ANN","Emerald","S1","PoddingDAS","Radn60_90",-16.6792922976281,19.7264934749145,17.9901914301782
"ANN","Emerald","S1","MaturityDAS","Lat",-25.2646589713274,25.2646589713274,11.8413569119425
"ANN","Emerald","S1","MaturityDAS","ShootLag",6.72416128753175,6.72457256004256,3.81014612659229
"ANN","Emerald","S1","MaturityDAS","VegTarget",4.32727509253951,4.69579444781188,3.99471246353735
"ANN","Emerald","S1","MaturityDAS","LateVegTarget",-0.680508631848008,3.97598782391173,4.87588071667305
"ANN","Emerald","S1","MaturityDAS","FloweringTarget",2.04032563584676,2.06053422911058,1.10241285925802
"ANN","Emerald","S1","MaturityDAS","Population",2.07195832455746,3.96636568905736,4.24681852996967
"ANN","Emerald","S1","MaturityDAS","FracPAWCmm",24.6372358860261,24.6372358860261,7.99576034451739
"ANN","Emerald","S1","MaturityDAS","PAWCmm",0.338482387186352,4.17170600579697,4.7862157548096
"ANN","Emerald","S1","MaturityDAS","sowingESW",-31.2268662331937,31.2268662331937,9.93148125128262
