 ETo studies - Control 80mm deficit - No Modifications for E

 Simulation run:- 25 Mar 2014  11:07   (OZCOT ver 2011, 9, 1, 0)              

 Mode 2: analysis of strategy, risk or "what if" scenario.
 Using met data file with id "  Myal", starting on day   1, 1960.
 APSIM 2001 format. Latitude  -30.10, Longitude  149.35.
 Variety S71B; Rowspacing 1.0 m;  12 plants per m row; sowing depth 5.0 cm.
 Irrigated crop; solid plant.
 Sowing on day 289, specified in AGRON.INP file.
 OZCOT decides when to irrigate.
 Water up   1 days after sowing.
 Crop irrigated at  80 mm deficit; allocation  12.0 Ml per ha; efficiency  85%.
 No irrigation until   5 days after 1st square; nor after  60% bolls open.
 Soil nitrogen  200. kg per ha;
 Fertiliser N  100. kg per ha applied on day 360.
 Soil water not reset at start of season.

 *******************************************************************************************************************


 YEAR SOWN   BOLL  LINT_Kg BALES  SCBO  MLAI  NUPT  MAT  DFS  DFF  DFB   ET NoIR PREI IRIG NoRD RAIN IRSW SWDE  dSW RUNO TOTI   WUE
 2001  288  136.0   2647.2 11.66  4.87  2.54  203.   78  339  365   47  806    8    0  769   39  271  653  269  -50   55  796  3.28
 2002  288  160.7   2697.8 11.88  4.20  2.60  202.   56  329  354   34  688    8    0  744   27  214  632  272  -74   70  684  3.92
 2003  288  126.4   2105.0  9.27  4.16  2.29  196.   73  337  360   42  660    6    0  539   36  358  458  258  -27  101  661  3.19
 2004  289  161.6   2966.4 13.07  4.59  3.54  197.   88  336  363   49  922    9    0  854   39  524  726  276  -58  236  919  3.22
 2005  288  126.3   1953.6  8.61  3.87  2.53  201.   63  333  358   31  741    8    0  762   41  322  564  272  -55   60  725  2.64
 2006  288  132.0   2676.8 11.79  5.07  2.49  202.   67  332  356   39  744    9    0  821   44  121  697  262  -45   15  730  3.60
 2007  288  148.9   2765.0 12.18  4.64  4.49  199.   96  332  360   44  821    7    0  651   68  412  470  218    6   36  819  3.37
 2008  289  132.3   2438.9 10.74  4.61  3.63  201.   72  336  363   42  828    7    0  643   41  329  547  198   37   53  833  2.95
 2009  288  126.7   2421.4 10.67  4.78  2.50  199.   61  330  352   39  624    6    0  625   40  394  531  280 -155  117  624  3.88
 2010  288  172.1   2696.1 11.88  3.92  3.14  193.   82  340    3   48  881    8    0  730   55  448  620  245    7  149  887  3.06
 2011  288  110.9   2454.7 10.81  5.53  3.25  181.  107  332  365   53  810    7    0  607   59  639  516  256    5  250  861  3.03

  << END-OF-FILE  >>
