 ETo studies - Emerald - 80mm deficit - 7 day avg ETo foreca

 Simulation run:- 25 Mar 2014  11:09   (OZCOT ver 2011, 9, 1, 0)              

 Mode 2: analysis of strategy, risk or "what if" scenario.
 Using met data file with id "  EMER", starting on day   1, 1960.
 APSIM 2001 format. Latitude  -23.47, Longitude  148.15.
 Variety S71B; Rowspacing 1.0 m;  12 plants per m row; sowing depth 5.0 cm.
 Irrigated crop; solid plant.
 Sowing on day 269, specified in AGRON.INP file.
 OZCOT decides when to irrigate.
 Water up   1 days after sowing.
 Crop irrigated at  80 mm deficit; allocation  12.0 Ml per ha; efficiency  85%.
 No irrigation until   5 days after 1st square; nor after  60% bolls open.
 Soil nitrogen  200. kg per ha;
 Fertiliser N  100. kg per ha applied on day 360.
 Soil water not reset at start of season.

 *******************************************************************************************************************


 YEAR SOWN   BOLL  LINT_Kg BALES  SCBO  MLAI  NUPT  MAT  DFS  DFF  DFB   ET NoIR PREI IRIG NoRD RAIN IRSW SWDE  dSW RUNO TOTI   WUE
 2001  268  162.5   2362.4 10.41  3.63  2.44  203.   43  308  333    6  846   10    0  961   34  239  734  238  -95   20  840  2.79
 2002  268  140.0   2729.3 12.02  4.87  2.22  207.   29  307  331    6  609    8    0  689    7   72  585  243  -36    2  603  4.48
 2003  268  124.5   2068.8  9.11  4.16  2.93  205.   31  307  330   10  676    6    0  499   29  390  424  254  -55   67  672  3.06
 2004  269  128.0   2311.1 10.18  4.51  3.02  204.   28  308  331    8  626    6    0  616   31  308  441  242  -80   25  629  3.69
 2005  268  154.6   2494.6 10.99  4.03  2.18  208.   30  306  329    6  762    7    0  646   28  278  549  208   -7   44  759  3.27
 2006  268  132.3   2436.2 10.73  4.61  2.65  203.   35  308  332   17  585    5    0  488   25  345  415  253  -75   77  587  4.16
 2007  268  115.4   1982.1  8.73  4.29  3.49  210.   37  307  334   13  621    4    0  347   54  621  295  252  -39  244  608  3.19
 2008  269  117.8   2136.3  9.41  4.53  3.16  201.   33  311  335   17  596    4    0  350   40  376  297  213   -1   62  592  3.58
 2009  268  102.8   1975.5  8.70  4.80  2.25  210.   32  309  332    9  515    5    0  411   35  239  350  256  -63    1  506  3.84
 2010  268  142.5   2686.2 11.83  4.71  3.83  194.   57  312  341   20  751    6    0  442   81  622  376  244   14  226  739  3.58
 2011  268  131.3   2280.0 10.04  4.34  3.81  207.   35  311  334   19  616    5    0  405   41  349  344  230  -32   26  612  3.70

  << END-OF-FILE  >>
