 ETo studies - 60mm deficit - 3 day avg ETo forecast - 5% Hi

 Simulation run:- 25 Mar 2014  11:08   (OZCOT ver 2011, 9, 1, 0)              

 Mode 2: analysis of strategy, risk or "what if" scenario.
 Using met data file with id "  BREE", starting on day   1, 1960.
 APSIM 2001 format. Latitude  -31.25, Longitude  150.46.
 Variety S71B; Rowspacing 1.0 m;  12 plants per m row; sowing depth 5.0 cm.
 Irrigated crop; solid plant.
 Sowing on day 289, specified in AGRON.INP file.
 OZCOT decides when to irrigate.
 Water up   1 days after sowing.
 Crop irrigated at  60 mm deficit; allocation  12.0 Ml per ha; efficiency  85%.
 No irrigation until   5 days after 1st square; nor after  60% bolls open.
 Soil nitrogen  200. kg per ha;
 Fertiliser N  100. kg per ha applied on day 360.
 Soil water not reset at start of season.

 *******************************************************************************************************************


 YEAR SOWN   BOLL  LINT_Kg BALES  SCBO  MLAI  NUPT  MAT  DFS  DFF  DFB   ET NoIR PREI IRIG NoRD RAIN IRSW SWDE  dSW RUNO TOTI   WUE
 2001  288  115.0   2389.6 10.53  5.19  3.73  188.  138  348   11   63  838   12    0  799   29  276  679  212   -4   57  844  2.85
 2002  288  131.4   2395.5 10.55  4.56  3.23  192.   79  332  361   41  738   10    0  705   20  241  599  202  -12   54  747  3.25
 2003  288  108.2   1980.9  8.73  4.58  3.15  189.   77  345    3   52  714    9    0  564   36  443  479  239  -27  139  717  2.77
 2004  289  138.8   2655.6 11.70  4.78  3.46  184.  108  342    6   52  866    9    0  719   44  547  611  212  -42  186  884  3.07
 2005  288  124.9   2173.4  9.57  4.35  2.92  193.   76  339  364   39  827   12    0  872   28  355  672  202  -10  136  820  2.63
 2006  288  115.2   2209.9  9.74  4.80  3.43  193.   93  336  365   41  795   10    0  689   36  336  585  192    6   92  788  2.78
 2007  288   78.1   1643.6  7.24  5.26  4.11  183.    0  338    4   55  693    6    0  417   39  475  355  216   -5   75  696  2.37
 2008  289  113.1   2086.0  9.19  4.61  2.87  190.   91  342    6   50  769   11    0  727   37  415  618  235   -5  183  787  2.71
 2009  288  132.4   2561.0 11.28  4.83  3.29  183.   97  333  359   40  771   10    0  700   42  434  595  239  -44  148  787  3.32
 2010  288  119.1   2355.1 10.37  4.94  3.24  189.   93  345   12   62  787   10    0  686   42  366  583  213   -6   89  792  2.99
 2011  288   96.1   2042.2  9.00  5.31  3.12  179.  117  340   10   75  675    6    0  403   57  569  342  211   17  187  696  3.03

  << END-OF-FILE  >>
