 ETo studies - 120mm deficit - 5 day avg ETo forecast - 40% 

 Simulation run:- 25 Mar 2014  11:07   (OZCOT ver 2011, 9, 1, 0)              

 Mode 2: analysis of strategy, risk or "what if" scenario.
 Using met data file with id "  Myal", starting on day   1, 1960.
 APSIM 2001 format. Latitude  -30.10, Longitude  149.35.
 Variety S71B; Rowspacing 1.0 m;  12 plants per m row; sowing depth 5.0 cm.
 Irrigated crop; solid plant.
 Sowing on day 289, specified in AGRON.INP file.
 OZCOT decides when to irrigate.
 Water up   1 days after sowing.
 Crop irrigated at 120 mm deficit; allocation  12.0 Ml per ha; efficiency  85%.
 No irrigation until   5 days after 1st square; nor after  60% bolls open.
 Soil nitrogen  200. kg per ha;
 Fertiliser N  100. kg per ha applied on day 360.
 Soil water not reset at start of season.

 *******************************************************************************************************************


 YEAR SOWN   BOLL  LINT_Kg BALES  SCBO  MLAI  NUPT  MAT  DFS  DFF  DFB   ET NoIR PREI IRIG NoRD RAIN IRSW SWDE  dSW RUNO TOTI   WUE
 2001  288  130.5   2889.4 12.73  5.53  2.29  205.   76  339  365   44  751    6    0  772   39  271  657  235 -101   55  754  3.85
 2002  288  150.3   2500.3 11.01  4.16  2.38  204.   57  329  354   37  653    6    0  654   28  215  556  265  -82   19  654  3.83
 2003  288  151.9   2355.9 10.38  3.88  3.20  205.   76  337  360   37  691    4    0  364   39  393  309  197   30   29  690  3.41
 2004  289  135.8   2835.0 12.49  5.22  2.85  201.   81  336  363   49  868    6    0  820   39  524  697  204  -61  251  881  3.27
 2005  288  126.4   2154.1  9.49  4.26  2.88  202.   63  333  358   31  735    7    0  689   41  322  460  193   24   48  730  2.93
 2006  288  138.9   2742.9 12.08  4.94  2.27  205.   75  332  356   34  722    7    0  771   45  133  656  265  -54    0  714  3.80
 2007  288  136.4   2851.8 12.56  5.23  3.88  206.   89  332  360   44  804    4    0  486   68  412  413  199   24   24  804  3.55
 2008  289  157.9   2729.8 12.03  4.32  3.47  202.   90  336  363   39  931    7    0  721   44  348  613  142   31   30  938  2.93
 2009  288  177.5   2793.0 12.30  3.93  3.97  203.  122  330  352   37  792    4    0  607   50  450  516  136  -32  109  802  3.53
 2010  288  159.8   2784.6 12.27  4.36  3.13  199.   78  340    3   47  865    6    0  772   52  432  656  185  -36  149  874  3.22
 2011  288  150.1   2585.5 11.39  4.31  3.79  186.  120  332  365   55  825    4    0  553   64  654  470  213   -5  213  872  3.13

  << END-OF-FILE  >>
