
"","","","","","","","","","","","","","Differences from Control"
" ","Region","Deficit","Forecast Days","Percent Adj"," ","Avg Yield","Total Irrigs","Avg Irrigs","Avg WUE","AdvancedCnt","DelayedCnt"," ","Avg Yield","Total Irrigs","Avg Irrigs","Avg WUE"
" ","","(mm)","(days)","(%)"," ","(kg/ha)","()","()","(kg/mm)","()","()"," ","(kg/ha)","()","()","(kg/mm)"

" ","Em",80,7,5," ",2584.9,363,7.0,3.6,20,26," ",0,0,0,0.0
" ","Em",80,7,10," ",0.0,0,0.0,0.0,42,46," ",0,0,0,0.0
" ","Em",80,7,20," ",0.0,0,0.0,0.0,65,106," ",0,0,0,0.0
" ","Em",80,7,40," ",0.0,0,0.0,0.0,108,171," ",0,0,0,0.0
" ","Em",100,3,5," ",0.0,0,0.0,0.0,43,24," ",0,0,0,0.0
" ","Em",100,3,10," ",0.0,0,0.0,0.0,64,49," ",0,0,0,0.0
" ","Em",100,3,20," ",0.0,0,0.0,0.0,95,67," ",0,0,0,0.0
" ","Em",100,3,40," ",0.0,0,0.0,0.0,144,116," ",0,0,0,0.0
" ","Em",100,5,5," ",0.0,0,0.0,0.0,33,22," ",0,0,0,0.0
" ","Em",100,5,10," ",0.0,0,0.0,0.0,49,47," ",0,0,0,0.0
" ","Em",100,5,20," ",0.0,0,0.0,0.0,70,92," ",0,0,0,0.0
" ","Em",100,5,40," ",0.0,0,0.0,0.0,107,152," ",0,0,0,0.0
" ","Em",100,7,5," ",0.0,0,0.0,0.0,32,24," ",0,0,0,0.0
" ","Em",100,7,10," ",0.0,0,0.0,0.0,47,45," ",0,0,0,0.0
" ","Em",100,7,20," ",0.0,0,0.0,0.0,59,100," ",0,0,0,0.0
" ","Em",100,7,40," ",0.0,0,0.0,0.0,90,149," ",0,0,0,0.0
" ","Em",120,3,5," ",0.0,0,0.0,0.0,37,30," ",0,0,0,0.0
" ","Em",120,3,10," ",0.0,0,0.0,0.0,47,44," ",0,0,0,0.0
" ","Em",120,3,20," ",0.0,0,0.0,0.0,73,50," ",0,0,0,0.0
" ","Em",120,3,40," ",0.0,0,0.0,0.0,135,70," ",0,0,0,0.0
" ","Em",120,5,5," ",0.0,0,0.0,0.0,28,35," ",0,0,0,0.0
" ","Em",120,5,10," ",0.0,0,0.0,0.0,39,56," ",0,0,0,0.0
" ","Em",120,5,20," ",0.0,0,0.0,0.0,58,60," ",0,0,0,0.0
" ","Em",120,5,40," ",0.0,0,0.0,0.0,99,89," ",0,0,0,0.0
" ","Em",120,7,5," ",0.0,0,0.0,0.0,23,31," ",0,0,0,0.0
" ","Em",120,7,10," ",0.0,0,0.0,0.0,31,51," ",0,0,0,0.0
" ","Em",120,7,20," ",0.0,0,0.0,0.0,49,82," ",0,0,0,0.0
" ","Em",120,7,40," ",0.0,0,0.0,0.0,80,134," ",0,0,0,0.0
" ","Gn",60,3,5," ",0.0,0,0.0,0.0,31,49," ",0,0,0,0.0
" ","Gn",60,3,10," ",0.0,0,0.0,0.0,72,100," ",0,0,0,0.0
" ","Gn",60,3,20," ",0.0,0,0.0,0.0,113,191," ",0,0,0,0.0
" ","Gn",60,3,40," ",0.0,0,0.0,0.0,170,318," ",0,0,0,0.0
" ","Gn",60,5,5," ",0.0,0,0.0,0.0,27,49," ",0,0,0,0.0
